example_id,doc_id,query,text,true_label,score
example_302,DOC20201,"Non-pharmacological approaches to anxiety reduction, not involving psychotherapy","Regular physical exercise, such as aerobic activities or yoga, is highly effective in reducing anxiety symptoms by releasing endorphins.",0,0.8869725465774536
example_302,DOC20202,"Non-pharmacological approaches to anxiety reduction, not involving psychotherapy","Mindfulness meditation practices, focusing on present moment awareness, can significantly lower stress and anxiety levels.",0,0.8969358801841736
example_302,DOC20203,"Non-pharmacological approaches to anxiety reduction, not involving psychotherapy",Cognitive Behavioral Therapy (CBT) is widely regarded as a first-line psychological intervention for various anxiety disorders.,1,0.24429184198379517
example_302,DOC20204,"Non-pharmacological approaches to anxiety reduction, not involving psychotherapy","Exposure therapy, a key component of many psychotherapeutic approaches, helps individuals confront and overcome their fears.",1,0.07277637720108032
example_302,DOC20205,"Non-pharmacological approaches to anxiety reduction, not involving psychotherapy","Interpersonal psychotherapy focuses on improving relational issues to alleviate mental health symptoms, including anxiety.",1,0.46756863594055176
example_302,DOC20206,"Non-pharmacological approaches to anxiety reduction, not involving psychotherapy",Psychodynamic therapy explores unconscious conflicts and past experiences that contribute to current anxiety states.,1,0.1957939863204956
example_303,DOC20301,Diagnostic tools for Alzheimer's disease that are not neuroimaging techniques,Cerebrospinal fluid (CSF) analysis for amyloid-beta and tau proteins provides crucial biomarkers for early Alzheimer's diagnosis.,0,0.7455681562423706
example_303,DOC20302,Diagnostic tools for Alzheimer's disease that are not neuroimaging techniques,"Neuropsychological assessments, involving tests of memory, language, and executive function, are essential for evaluating cognitive decline.",0,0.9895817041397095
example_303,DOC20303,Diagnostic tools for Alzheimer's disease that are not neuroimaging techniques,"Magnetic Resonance Imaging (MRI) is routinely used to rule out other causes of cognitive impairment, such as strokes or tumors.",1,0.06570768356323242
example_303,DOC20304,Diagnostic tools for Alzheimer's disease that are not neuroimaging techniques,"Positron Emission Tomography (PET) scans, particularly amyloid PET, can detect the presence of amyloid plaques in the brain, a hallmark of Alzheimer's.",1,0.8368600010871887
example_303,DOC20305,Diagnostic tools for Alzheimer's disease that are not neuroimaging techniques,Functional MRI (fMRI) measures brain activity by detecting changes in blood flow and is used in research to understand brain networks affected by Alzheimer's.,1,0.8658630847930908
example_303,DOC20306,Diagnostic tools for Alzheimer's disease that are not neuroimaging techniques,CT scans are often performed to identify structural changes in the brain that may suggest neurodegeneration consistent with Alzheimer's.,1,0.21360385417938232
example_304,DOC20401,"Pain management strategies for chronic back pain, not involving opioids","Physical therapy, including exercises to strengthen core muscles and improve posture, is a cornerstone of non-pharmacological back pain treatment.",0,0.9920173287391663
example_304,DOC20402,"Pain management strategies for chronic back pain, not involving opioids",Acupuncture has demonstrated efficacy in reducing chronic back pain intensity and improving functional outcomes for many patients.,0,0.8016080856323242
example_304,DOC20403,"Pain management strategies for chronic back pain, not involving opioids","Opioid medications are frequently prescribed for severe chronic pain, despite concerns about addiction and side effects.",1,0.04100316762924194
example_304,DOC20404,"Pain management strategies for chronic back pain, not involving opioids",Long-term opioid therapy requires careful monitoring due to the risk of tolerance and opioid-induced hyperalgesia.,1,0.3322095274925232
example_304,DOC20405,"Pain management strategies for chronic back pain, not involving opioids","For refractory chronic back pain, strong opioids like oxycodone or fentanyl may be considered as a last resort.",1,0.5553923845291138
example_304,DOC20406,"Pain management strategies for chronic back pain, not involving opioids",Guidelines often recommend a trial of opioids for intractable pain that has not responded to other interventions.,1,0.032898545265197754
example_306,DOC20601,"Alternative treatments for seasonal allergies, not involving antihistamines",Nasal saline rinses can effectively clear allergens from nasal passages and reduce congestion and irritation.,0,0.9367125034332275
example_306,DOC20602,"Alternative treatments for seasonal allergies, not involving antihistamines",Acupuncture and certain herbal remedies like butterbur have shown promise in alleviating allergy symptoms for some individuals.,0,0.9241887927055359
example_306,DOC20603,"Alternative treatments for seasonal allergies, not involving antihistamines","Antihistamine medications, such as loratadine or cetirizine, are widely used as first-line treatment for allergic rhinitis.",1,0.020244956016540527
example_306,DOC20604,"Alternative treatments for seasonal allergies, not involving antihistamines",Many over-the-counter allergy medications primarily function by blocking histamine receptors to reduce sneezing and itching.,1,0.10171985626220703
example_306,DOC20605,"Alternative treatments for seasonal allergies, not involving antihistamines",Prescription antihistamines may be necessary for severe allergic reactions or chronic urticaria not controlled by other means.,1,0.36116641759872437
example_306,DOC20606,"Alternative treatments for seasonal allergies, not involving antihistamines",Combination therapies often include an antihistamine along with a decongestant for comprehensive symptom relief.,1,0.050896644592285156
example_307,DOC20701,"Management of irritable bowel syndrome (IBS) symptoms, excluding dietary modifications","Stress reduction techniques, including yoga, meditation, and guided imagery, can significantly improve IBS symptoms by calming the gut-brain axis.",0,0.9482098817825317
example_307,DOC20702,"Management of irritable bowel syndrome (IBS) symptoms, excluding dietary modifications",Probiotic supplements containing specific strains have demonstrated efficacy in normalizing gut flora and reducing bloating and discomfort.,0,0.5657747983932495
